idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
0,0.316000,69.437082,94.412425,1.834657,0.000000,0.000000,5.130916,2.227050
1,0.326000,69.437082,94.412425,1.834657,0.000000,0.000000,5.317587,2.219315
2,0.336000,69.437082,94.412425,1.834657,5.428410,0.127191,5.489368,2.226471
3,0.346000,69.507413,94.416056,1.837368,8.768970,-0.203985,5.655553,2.239223
4,0.356000,69.601102,94.419021,1.788844,9.373727,0.554360,5.843613,2.230100
5,0.366000,69.703586,94.422072,1.620975,10.252064,0.710349,5.993883,2.258766
6,0.376000,69.803911,94.424699,1.379269,10.036080,0.280780,6.185305,2.246282
7,0.386000,69.883525,94.426452,1.143337,7.962628,-0.155989,6.336229,2.274294
8,0.397000,69.965440,94.427944,0.943441,8.193012,-0.616756,6.539734,2.267619
9,0.407000,70.044201,94.429104,0.743830,7.876235,-0.482365,6.687794,2.298497
10,0.417000,70.044201,94.429104,0.743830,9.719302,-0.607156,6.870330,2.294897
11,0.427000,70.044201,94.429104,0.743830,8.783369,-0.398371,7.014602,2.329562
12,0.437000,70.044201,94.429104,0.743830,10.554442,-0.611956,7.194438,2.328663
13,0.447000,70.044201,94.429104,0.743830,11.029608,-0.556760,7.329442,2.372596
14,0.457000,70.044201,94.429104,0.743830,12.555899,-0.556760,7.501836,2.379139
15,0.467000,70.044201,94.429104,0.743830,12.368712,-0.463167,7.637783,2.422129
16,0.477000,70.044201,94.429104,0.743830,15.550884,-0.758346,7.793318,2.445531
17,0.487000,70.857042,94.393695,358.773225,14.902930,-0.515963,7.934949,2.482836
18,0.497000,71.006026,94.390095,358.457969,16.803594,-0.789543,8.067700,2.529022
19,0.507000,71.187269,94.384638,358.093077,17.437148,-0.712749,8.214111,2.561548
20,0.517000,71.369328,94.377977,357.716506,18.430677,-0.787143,8.325204,2.629391
21,0.527000,71.553479,94.370011,357.329493,19.596993,-0.880737,8.455295,2.678237
22,0.537000,71.749239,94.360184,356.922905,20.475330,-0.988729,8.577688,2.734781
23,0.547000,71.953714,94.348453,356.510171,19.165024,-0.640754,8.670714,2.820692
24,0.557000,71.953714,94.348453,356.510171,23.599906,-1.327105,8.780256,2.890087
25,0.567000,71.953714,94.348453,356.510171,19.237019,-0.407971,8.879321,2.969958
26,0.577000,71.953714,94.348453,356.510171,22.476786,-0.808742,8.944190,3.084026
27,0.587000,71.953714,94.348453,356.510171,27.977192,-1.792671,9.022574,3.184579
28,0.598000,71.953714,94.348453,356.510171,22.131211,-0.746346,9.092627,3.311357
29,0.608000,71.953714,94.348453,356.510171,27.458829,-1.341504,9.136157,3.446763
30,0.618000,73.613488,94.188411,352.904976,25.817347,-1.043925,9.152780,3.609077
31,0.628000,73.851581,94.157615,352.354923,24.003077,-0.631155,9.169884,3.770910
32,0.638000,74.077345,94.126011,351.707437,21.425662,0.091193,9.168729,3.951002
33,0.648000,74.315156,94.090093,351.114649,24.046274,-0.489565,9.144093,4.154574
34,0.658000,74.642987,94.037211,350.558852,33.204016,-1.828669,9.070275,4.407329
35,0.668000,75.083939,93.961287,349.902164,40.216313,-2.896592,8.992587,4.663954
36,0.678000,75.435212,93.896697,349.260022,34.730307,-1.559888,8.884990,4.950488
37,0.688000,75.435212,93.896697,349.260022,23.455916,0.055196,8.743821,5.270594
38,0.698000,75.435212,93.896697,349.260022,25.356580,0.261581,8.564971,5.628380
39,0.708000,75.435212,93.896697,349.260022,34.514322,-1.139918,8.328313,6.043975
40,0.718000,75.435212,93.896697,349.260022,38.344447,-1.629483,8.039171,6.512054
41,0.728000,75.435212,93.896697,349.260022,42.592142,-1.795071,7.711484,7.018678
42,0.738000,75.435212,93.896697,349.260022,37.854882,-1.125519,7.325758,7.583341
43,0.748000,75.435212,93.896697,349.260022,36.400587,-0.153589,6.876792,8.211243
44,0.758000,77.674274,93.413889,345.274916,38.675624,-0.484765,6.360011,8.906961
45,0.768000,78.048055,93.314269,344.877791,38.704421,-0.388772,5.772180,9.673729
46,0.778000,78.421381,93.212159,344.528049,39.913935,-0.326377,5.112605,10.512241
47,0.788000,78.805763,93.104647,344.219202,40.590686,-0.045597,5.974178,9.829604
48,0.798000,79.196110,92.993358,343.954911,39.712349,0.057596,11.369897,4.612822
49,0.808000,79.591699,92.878767,343.735572,41.008256,-0.225584,12.369419,3.792238
